Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,P32261,P32261,-1.811956227,1.811956227,0.039114702,1.41,0.045947993,20,P32261,Serpinc1,Antithrombin-III,ANT3_MOUSE,31,-71.51955145,0.284804485,Female,Male,NaN,NaN,NaN
Female / Male,E9Q414,E9Q414,-1.808055505,1.808055505,0.024990095,1.6,0.037129079,20,E9Q414,Apob,Apolipoprotein B-100,APOB_MOUSE,38,-71.44244255,0.285575575,Female,Male,NaN,NaN,NaN
Female / Male,Q60900,Q60900,-1.805778562,1.805778562,0.029048123,1.54,0.040662365,20,Q60900,Elavl3,ELAV-like protein 3,ELAV3_MOUSE,1,-71.39733581,0.286026642,Female,Male,NaN,NaN,NaN
Female / Male,Q00897,Q00897,-1.802650283,1.802650283,0.03533435,1.45,0.043886614,20,Q00897,Serpina1d,Alpha-1-antitrypsin 1-4,A1AT4_MOUSE,11,-71.33524772,0.286647523,Female,Male,NaN,NaN,NaN
Female / Male,Q61147,Q61147,-1.800079681,1.800079681,0.035140178,1.45,0.043715054,20,Q61147,Cp,Ceruloplasmin,CERU_MOUSE,39,-71.28412717,0.287158728,Female,Male,NaN,NaN,NaN
Female / Male,Q8VCS0,Q8VCS0,-1.792715145,1.792715145,0.022912453,1.64,0.035979652,20,Q8VCS0,Pglyrp2,N-acetylmuramoyl-L-alanine amidase,PGRP2_MOUSE,3,-71.13716627,0.288628337,Female,Male,NaN,NaN,NaN
Female / Male,P11588,P11588,-1.790827806,1.790827806,1.61E-09,8.79,2.23E-07,20,P11588,Mup1,Major urinary protein 1,MUP1_MOUSE,17,-71.09938309,0.289006169,Female,Male,NaN,NaN,NaN
Female / Male,Q9R1B9,Q9R1B9,-1.788314728,1.788314728,0.024632767,1.61,0.036829347,20,Q9R1B9,Slit2,Slit homolog 2 protein,SLIT2_MOUSE,3,-71.04899629,0.289510037,Female,Male,NaN,NaN,NaN
Female / Male,Q5FW60,Q5FW60,-1.780357097,1.780357097,5.98E-08,7.22,4.24E-06,20,Q5FW60,Mup20,Major urinary protein 20,MUP20_MOUSE,11,-70.88886684,0.291111332,Female,Male,NaN,NaN,NaN
Female / Male,Q9JKB1,Q9JKB1,-1.77851936,1.77851936,0.032085883,1.49,0.042043949,20,Q9JKB1,Uchl3,Ubiquitin carboxyl-terminal hydrolase isozyme L3,UCHL3_MOUSE,4,-70.8517608,0.291482392,Female,Male,NaN,NaN,NaN
Female / Male,P04186,P04186,-1.764740649,1.764740649,0.044319477,1.35,0.048666126,20,P04186,Cfb,Complement factor B,CFAB_MOUSE,22,-70.57204182,0.294279582,Female,Male,NaN,NaN,NaN
Female / Male,Q64339,Q64339,-1.756505666,1.756505666,0.006749034,2.17,0.019004499,20,Q64339,Isg15,Ubiquitin-like protein ISG15,ISG15_MOUSE,2,-70.40358509,0.295964149,Female,Male,NaN,NaN,NaN
Female / Male,Q9CR51,Q9CR51,-1.740531286,1.740531286,0.001475914,2.83,0.007332565,20,Q9CR51,Atp6v1g1,V-type proton ATPase subunit G 1,VATG1_MOUSE,1,-70.07405491,0.299259451,Female,Male,NaN,NaN,NaN
Female / Male,P49222,P49222,-1.735797624,1.735797624,0.020955416,1.68,0.034238611,20,P49222,Epb42,Protein 4.2,EPB42_MOUSE,7,-69.97570291,0.300242971,Female,Male,NaN,NaN,NaN
Female / Male,P15327,P15327,-1.734880388,1.734880388,0.042528029,1.37,0.047784568,20,P15327,Bpgm,Bisphosphoglycerate mutase,PMGE_MOUSE,9,-69.95660801,0.30043392,Female,Male,NaN,NaN,NaN
Female / Male,P05201,P05201,-1.726546753,1.726546753,0.031062697,1.51,0.041416929,20,P05201,Got1,"Aspartate aminotransferase, cytoplasmic",AATC_MOUSE,12,-69.78256209,0.302174379,Female,Male,NaN,NaN,NaN
Female / Male,Q8BK62,Q8BK62,-1.726277566,1.726277566,0.000212433,3.67,0.002020703,20,Q8BK62,Olfml3,Olfactomedin-like protein 3,OLFL3_MOUSE,4,-69.77692341,0.302230766,Female,Male,NaN,NaN,NaN
Female / Male,Q9JI02,Q9JI02,-1.724931184,1.724931184,7.47E-05,4.13,0.001004937,20,Q9JI02,Scgb2b20,Secretoglobin family 2B member 20,S2B20_MOUSE,3,-69.74870482,0.302512952,Female,Male,NaN,NaN,NaN
Female / Male,O09118,O09118,-1.723889739,1.723889739,0.002375813,2.62,0.01007138,20,O09118,Ntn1,Netrin-1,NET1_MOUSE,2,-69.7268593,0.302731407,Female,Male,NaN,NaN,NaN
Female / Male,P07361,P07361,-1.718350251,1.718350251,0.043027989,1.37,0.048058596,20,P07361,Orm2,Alpha-1-acid glycoprotein 2,A1AG2_MOUSE,1,-69.61039667,0.303896033,Female,Male,NaN,NaN,NaN
Female / Male,Q6GU68,Q6GU68,-1.71530562,1.71530562,0.035469883,1.45,0.04398491,20,Q6GU68,Islr,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR_MOUSE,1,-69.54619541,0.304538046,Female,Male,NaN,NaN,NaN
Female / Male,Q9QZ39,Q9QZ39,-1.69525608,1.69525608,0.001332446,2.88,0.006748754,20,Q9QZ39,St6galnac1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",SIA7A_MOUSE,2,-69.12001579,0.308799842,Female,Male,NaN,NaN,NaN
Female / Male,P40237,P40237,-1.672981857,1.672981857,0.000913315,3.04,0.005396864,20,P40237,Cd82,CD82 antigen,CD82_MOUSE,1,-68.6395505,0.313604495,Female,Male,NaN,NaN,NaN
Female / Male,P15508,P15508,-1.661501106,1.661501106,0.036534745,1.44,0.044829079,20,P15508,Sptb,"Spectrin beta chain, erythrocytic",SPTB1_MOUSE,52,-68.38899312,0.316110069,Female,Male,NaN,NaN,NaN
Female / Male,P14106,P14106,-1.658692756,1.658692756,0.028763877,1.54,0.040424908,20,P14106,C1qb,Complement C1q subcomponent subunit B,C1QB_MOUSE,3,-68.32739922,0.316726008,Female,Male,NaN,NaN,NaN
Female / Male,Q8R1G2,Q8R1G2,-1.656926211,1.656926211,0.011156503,1.95,0.024427344,20,Q8R1G2,Cmbl,Carboxymethylenebutenolidase homolog,CMBL_MOUSE,2,-68.28859312,0.317114069,Female,Male,NaN,NaN,NaN
Female / Male,P00757,P00757,-1.652033719,1.652033719,0.007210744,2.14,0.019665665,20,P00757,Klk1b4,Kallikrein 1-related peptidase-like b4,K1KB4_MOUSE,9,-68.1808703,0.318191297,Female,Male,NaN,NaN,NaN
Female / Male,P70697,P70697,-1.645597444,1.645597444,0.009942968,2,0.023220105,20,P70697,Urod,Uroporphyrinogen decarboxylase,DCUP_MOUSE,1,-68.03859895,0.319614011,Female,Male,NaN,NaN,NaN
Female / Male,P33587,P33587,-1.634959882,1.634959882,0.041696541,1.38,0.047272241,20,P33587,Proc,Vitamin K-dependent protein C,PROC_MOUSE,3,-67.80206393,0.321979361,Female,Male,NaN,NaN,NaN
Female / Male,P11679,P11679,-1.63097836,1.63097836,0.003009753,2.52,0.011781292,20,P11679,Krt8,"Keratin, type II cytoskeletal 8",K2C8_MOUSE,12,-67.71308196,0.32286918,Female,Male,NaN,NaN,NaN
Female / Male,Q9ESP1,Q9ESP1,-1.62499562,1.62499562,0.000907971,3.04,0.005396864,20,Q9ESP1,Sdf2l1,Stromal cell-derived factor 2-like protein 1,SDF2L_MOUSE,1,-67.57891271,0.324210873,Female,Male,NaN,NaN,NaN
Female / Male,P04071,P04071,-1.616418231,1.616418231,0.01136418,1.94,0.024486355,20,P04071,Klk1b16,Kallikrein 1-related peptidase b16,K1B16_MOUSE,9,-67.38558245,0.326144175,Female,Male,NaN,NaN,NaN
Female / Male,P09813,P09813,-1.614510346,1.614510346,0.0303021,1.52,0.041264459,20,P09813,Apoa2,Apolipoprotein A-II,APOA2_MOUSE,4,-67.34242314,0.326575769,Female,Male,NaN,NaN,NaN
Female / Male,P01675;P01676;P01677;P01678;P01679,P01675;P01676;P01677;P01678;P01679,-1.611286957,1.611286957,0.043919792,1.36,0.048666126,20,P01675;P01676;P01677;P01678;P01679,NaN,Ig kappa chain V-VI region XRPC 44;Ig kappa chain V-VI region XRPC 24;Ig kappa chain V-VI region TEPC 601/TEPC 191;Ig kappa chain V-VI region SAPC 10;Ig kappa chain V-VI region J539,KV6A1_MOUSE;KV6A2_MOUSE;KV6A3_MOUSE;KV6A4_MOUSE;KV6A5_MOUSE,1,-67.26937531,0.327306247,Female,Male,NaN,NaN,NaN
Female / Male,Q9WV35,Q9WV35,-1.611208829,1.611208829,0.036924793,1.43,0.045072517,20,Q9WV35,Apobec2,C->U-editing enzyme APOBEC-2,ABEC2_MOUSE,2,-67.26760274,0.327323973,Female,Male,NaN,NaN,NaN
Female / Male,Q9JHC0,Q9JHC0,-1.605314887,1.605314887,0.001038811,2.98,0.005706146,20,Q9JHC0,Gpx2,Glutathione peroxidase 2,GPX2_MOUSE,3,-67.13360531,0.328663947,Female,Male,NaN,NaN,NaN
Female / Male,P24270,P24270,-1.599922071,1.599922071,0.035898294,1.44,0.044304857,20,P24270,Cat,Catalase,CATA_MOUSE,15,-67.01052031,0.329894797,Female,Male,NaN,NaN,NaN
Female / Male,Q5UW37,Q5UW37,-1.574995106,1.574995106,0.010494886,1.98,0.023912282,20,Q5UW37,Cxcl17,C-X-C motif chemokine 17,CXL17_MOUSE,1,-66.43557357,0.335644264,Female,Male,NaN,NaN,NaN
Female / Male,P01867,P01867,-1.55805538,1.55805538,0.029402018,1.53,0.040662365,20,P01867,Ighg2b,Immunoglobulin heavy constant gamma 2B,IGG2B_MOUSE,5,-66.03914655,0.339608534,Female,Male,NaN,NaN,NaN
Female / Male,P70195,P70195,-1.557883968,1.557883968,0.029122616,1.54,0.040662365,20,P70195,Psmb7,Proteasome subunit beta type-7,PSB7_MOUSE,2,-66.03511129,0.339648887,Female,Male,NaN,NaN,NaN
Female / Male,P61290,P61290,-1.550070528,1.550070528,0.009095601,2.04,0.022005265,20,P61290,Psme3,Proteasome activator complex subunit 3,PSME3_MOUSE,1,-65.85066307,0.341493369,Female,Male,NaN,NaN,NaN
Female / Male,Q9QYB8,Q9QYB8,-1.545744191,1.545744191,0.028667633,1.54,0.040362372,20,Q9QYB8,Add2,Beta-adducin,ADDB_MOUSE,1,-65.74810271,0.342518973,Female,Male,NaN,NaN,NaN
Female / Male,O08677,O08677,-1.537823403,1.537823403,0.044548223,1.35,0.048666126,20,O08677,Kng1,Kininogen-1,KNG1_MOUSE,17,-65.55953332,0.344404667,Female,Male,NaN,NaN,NaN
Female / Male,P24549,P24549,-1.53176093,1.53176093,0.029850669,1.53,0.041064412,20,P24549,Aldh1a1,Aldehyde dehydrogenase 1A1,AL1A1_MOUSE,22,-65.41450356,0.345854964,Female,Male,NaN,NaN,NaN
Female / Male,P21981,P21981,-1.529975592,1.529975592,0.03253396,1.49,0.042223775,20,P21981,Tgm2,Protein-glutamine gamma-glutamyltransferase 2,TGM2_MOUSE,6,-65.37167745,0.346283226,Female,Male,NaN,NaN,NaN
Female / Male,Q8CJG0,Q8CJG0,-1.529066689,1.529066689,0.004567459,2.34,0.015290205,20,Q8CJG0,Ago2,Protein argonaute-2,AGO2_MOUSE,2,-65.34985461,0.346501454,Female,Male,NaN,NaN,NaN
Female / Male,Q64520,Q64520,-1.520993206,1.520993206,0.026056057,1.58,0.038202489,20,Q64520,Guk1,Guanylate kinase,KGUA_MOUSE,1,-65.15540495,0.348445951,Female,Male,NaN,NaN,NaN
Female / Male,E9PV24,E9PV24,-1.517035761,1.517035761,0.044652706,1.35,0.048712043,20,E9PV24,Fga,Fibrinogen alpha chain,FIBA_MOUSE,26,-65.05969181,0.349403082,Female,Male,NaN,NaN,NaN
Female / Male,Q62048,Q62048,-1.510533771,1.510533771,0.027481819,1.56,0.039331777,20,Q62048,Pea15,Astrocytic phosphoprotein PEA-15,PEA15_MOUSE,2,-64.90186618,0.350981338,Female,Male,NaN,NaN,NaN
Female / Male,Q99KP3,Q99KP3,-1.502083083,1.502083083,0.03242718,1.49,0.042155333,20,Q99KP3,Cryl1,Lambda-crystallin homolog,CRYL1_MOUSE,2,-64.69567308,0.353043269,Female,Male,NaN,NaN,NaN
Female / Male,Q8CCJ3,Q8CCJ3,-1.486965055,1.486965055,0.008399862,2.08,0.021203535,20,Q8CCJ3,Ufl1,E3 UFM1-protein ligase 1,UFL1_MOUSE,1,-64.32377322,0.356762268,Female,Male,NaN,NaN,NaN
Female / Male,P05208,P05208,-1.486782339,1.486782339,0.037305415,1.43,0.045237457,20,P05208,Cela2a,Chymotrypsin-like elastase family member 2A,CEL2A_MOUSE,1,-64.31925457,0.356807454,Female,Male,NaN,NaN,NaN
Female / Male,P46460,P46460,-1.485163992,1.485163992,0.021172524,1.67,0.034264922,20,P46460,Nsf,Vesicle-fusing ATPase,NSF_MOUSE,2,-64.27920715,0.357207928,Female,Male,NaN,NaN,NaN
Female / Male,P55249,P55249,-1.466072652,1.466072652,4.21E-06,5.38,0.000142662,20,P55249,Alox12e,"Polyunsaturated fatty acid (12S)/(13S)-lipoxygenase, epidermal-type",LX12E_MOUSE,1,-63.80336854,0.361966315,Female,Male,NaN,NaN,NaN
Female / Male,P04939,P04939,-1.463352129,1.463352129,4.15E-06,5.38,0.000142662,20,P04939,Mup3,Major urinary protein 3,MUP3_MOUSE,3,-63.73504734,0.362649527,Female,Male,NaN,NaN,NaN
Female / Male,Q8K0E8,Q8K0E8,-1.46315655,1.46315655,0.037856497,1.42,0.045435266,20,Q8K0E8,Fgb,Fibrinogen beta chain,FIBB_MOUSE,26,-63.73013073,0.362698693,Female,Male,NaN,NaN,NaN
Female / Male,P40936,P40936,-1.455847888,1.455847888,0.041151006,1.39,0.047090566,20,P40936,Inmt,Indolethylamine N-methyltransferase,INMT_MOUSE,3,-63.54592216,0.364540778,Female,Male,NaN,NaN,NaN
Female / Male,Q62348,Q62348,-1.455207176,1.455207176,0.024990726,1.6,0.037129079,20,Q62348,Tsn,Translin,TSN_MOUSE,4,-63.52972902,0.36470271,Female,Male,NaN,NaN,NaN
Female / Male,Q99KB8,Q99KB8,-1.445698361,1.445698361,0.006466855,2.19,0.018539729,20,Q99KB8,Hagh,"Hydroxyacylglutathione hydrolase, mitochondrial",GLO2_MOUSE,2,-63.28855927,0.367114407,Female,Male,NaN,NaN,NaN
Female / Male,P97352,P97352,-1.435932042,1.435932042,0.029363711,1.53,0.040662365,20,P97352,S100a13,Protein S100-A13,S10AD_MOUSE,1,-63.03919823,0.369608018,Female,Male,NaN,NaN,NaN
Female / Male,P61971,P61971,-1.435644167,1.435644167,0.007935582,2.1,0.020495875,20,P61971,Nutf2,Nuclear transport factor 2,NTF2_MOUSE,1,-63.03182235,0.369681777,Female,Male,NaN,NaN,NaN
Female / Male,Q9JK95,Q9JK95,-1.427235145,1.427235145,0.024025225,1.62,0.03638772,20,Q9JK95,Perp,p53 apoptosis effector related to PMP-22,PERP_MOUSE,1,-62.81571711,0.371842829,Female,Male,NaN,NaN,NaN
Female / Male,P61939,P61939,-1.422102084,1.422102084,0.03285836,1.48,0.04231798,20,P61939,Serpina7,Thyroxine-binding globulin,THBG_MOUSE,1,-62.68318102,0.37316819,Female,Male,NaN,NaN,NaN
Female / Male,P11589,P11589,-1.413809979,1.413809979,0.003850956,2.41,0.013653388,20,P11589,Mup2,Major urinary protein 2,MUP2_MOUSE,1,-62.46807946,0.375319205,Female,Male,NaN,NaN,NaN
Female / Male,Q9CQ92,Q9CQ92,-1.407693129,1.407693129,0.01126196,1.95,0.024427344,20,Q9CQ92,Fis1,Mitochondrial fission 1 protein,FIS1_MOUSE,1,-62.30861089,0.376913891,Female,Male,NaN,NaN,NaN
Female / Male,Q8BK48,Q8BK48,-1.400400997,1.400400997,0.02355533,1.63,0.036167633,20,Q8BK48,Ces2e,Pyrethroid hydrolase Ces2e,EST2E_MOUSE,3,-62.11761671,0.378823833,Female,Male,NaN,NaN,NaN
Female / Male,P28474,P28474,-1.390810203,1.390810203,0.030525119,1.52,0.041264459,20,P28474,Adh5,Alcohol dehydrogenase class-3,ADHX_MOUSE,3,-61.86494205,0.38135058,Female,Male,NaN,NaN,NaN
Female / Male,Q9JHY3,Q9JHY3,-1.390048378,1.390048378,0.000627465,3.2,0.004078521,20,Q9JHY3,Wfdc12,WAP four-disulfide core domain protein 12,WFD12_MOUSE,6,-61.84479927,0.381552007,Female,Male,NaN,NaN,NaN
Female / Male,Q9CR09,Q9CR09,-1.384885646,1.384885646,0.033589686,1.47,0.042810384,20,Q9CR09,Ufc1,Ubiquitin-fold modifier-conjugating enzyme 1,UFC1_MOUSE,1,-61.70801501,0.38291985,Female,Male,NaN,NaN,NaN
Female / Male,P62196,P62196,-1.375798192,1.375798192,0.03193705,1.5,0.042043949,20,P62196,Psmc5,26S proteasome regulatory subunit 8,PRS8_MOUSE,3,-61.46605473,0.385339453,Female,Male,NaN,NaN,NaN
Female / Male,Q8BIS8,Q8BIS8,-1.373273982,1.373273982,0.024284418,1.61,0.036567271,20,Q8BIS8,Ccdc126,Coiled-coil domain-containing protein 126,CC126_MOUSE,1,-61.39857484,0.386014252,Female,Male,NaN,NaN,NaN
Female / Male,P10637,P10637,-1.36225436,1.36225436,0.023653328,1.63,0.036175678,20,P10637,Mapt,Microtubule-associated protein tau,TAU_MOUSE,3,-61.10259973,0.388974003,Female,Male,NaN,NaN,NaN
Female / Male,Q6XQH0,Q6XQH0,-1.361953359,1.361953359,1.11E-05,4.95,0.000256912,20,Q6XQH0,Gal3st2,Galactose-3-O-sulfotransferase 2,G3ST2_MOUSE,9,-61.09448343,0.389055166,Female,Male,NaN,NaN,NaN
Female / Male,O70252,O70252,-1.355432473,1.355432473,0.030970745,1.51,0.041416929,20,O70252,Hmox2,Heme oxygenase 2,HMOX2_MOUSE,1,-60.91823504,0.39081765,Female,Male,NaN,NaN,NaN
Female / Male,O55135,O55135,-1.353290636,1.353290636,0.006388915,2.19,0.018539729,20,O55135,Eif6,Eukaryotic translation initiation factor 6,IF6_MOUSE,2,-60.86017083,0.391398292,Female,Male,NaN,NaN,NaN
Female / Male,P47955,P47955,-1.347015744,1.347015744,0.000353496,3.45,0.002785122,20,P47955,Rplp1,Large ribosomal subunit protein P1,RLA1_MOUSE,2,-60.68956439,0.393104356,Female,Male,NaN,NaN,NaN
Female / Male,Q8VCM7,Q8VCM7,-1.345293231,1.345293231,0.040110122,1.4,0.046459815,20,Q8VCM7,Fgg,Fibrinogen gamma chain,FIBG_MOUSE,17,-60.64260145,0.393573985,Female,Male,NaN,NaN,NaN
Female / Male,Q9JJV2,Q9JJV2,-1.341279636,1.341279636,0.019354679,1.71,0.032811935,20,Q9JJV2,Pfn2,Profilin-2,PROF2_MOUSE,2,-60.53295626,0.394670437,Female,Male,NaN,NaN,NaN
Female / Male,Q09199,Q09199,-1.335848137,1.335848137,2.46E-06,5.61,9.58E-05,20,Q09199,B4galnt2,"Beta-1,4 N-acetylgalactosaminyltransferase 2",B4GN2_MOUSE,8,-60.38408956,0.396159104,Female,Male,NaN,NaN,NaN
Female / Male,Q6P8J7,Q6P8J7,-1.320815877,1.320815877,0.042895084,1.37,0.048058596,20,Q6P8J7,Ckmt2,"Creatine kinase S-type, mitochondrial",KCRS_MOUSE,1,-59.96915088,0.400308491,Female,Male,NaN,NaN,NaN
Female / Male,Q922Q8,Q922Q8,-1.304956549,1.304956549,0.012438794,1.91,0.02577421,20,Q922Q8,Lrrc59,Leucine-rich repeat-containing protein 59,LRC59_MOUSE,4,-59.52667022,0.404733298,Female,Male,NaN,NaN,NaN
Female / Male,O09114,O09114,-1.295946681,1.295946681,0.018951742,1.72,0.032704334,20,O09114,Ptgds,Prostaglandin-H2 D-isomerase,PTGDS_MOUSE,2,-59.27311671,0.407268833,Female,Male,NaN,NaN,NaN
Female / Male,Q9ERK4,Q9ERK4,-1.290817015,1.290817015,0.01765059,1.75,0.031722259,20,Q9ERK4,Cse1l,Exportin-2,XPO2_MOUSE,5,-59.12804989,0.408719501,Female,Male,NaN,NaN,NaN
Female / Male,O55234,O55234,-1.283927662,1.283927662,0.018527422,1.73,0.032425014,20,O55234,Psmb5,Proteasome subunit beta type-5,PSB5_MOUSE,6,-58.93240584,0.410675942,Female,Male,NaN,NaN,NaN
Female / Male,Q5DID3,Q5DID3,-1.282415286,1.282415286,0.013442768,1.87,0.026748365,20,Q5DID3,Umodl1,Uromodulin-like 1,UROL1_MOUSE,2,-58.88933214,0.411106679,Female,Male,NaN,NaN,NaN
Female / Male,P03976,P03976,-1.281817587,1.281817587,0.009101304,2.04,0.022005265,20,P03976,NaN,Ig kappa chain V-II region 17S29.1,KV2A5_MOUSE,1,-58.87229674,0.411277033,Female,Male,NaN,NaN,NaN
Female / Male,P05784,P05784,-1.280642891,1.280642891,0.03870271,1.41,0.045808974,20,P05784,Krt18,"Keratin, type I cytoskeletal 18",K1C18_MOUSE,11,-58.83879541,0.411612046,Female,Male,NaN,NaN,NaN
Female / Male,Q8R1L8,Q8R1L8,-1.2719527,1.2719527,0.020574296,1.69,0.033856437,20,Q8R1L8,Angptl8,Angiopoietin-like protein 8,ANGL8_MOUSE,1,-58.5901093,0.414098907,Female,Male,NaN,NaN,NaN
Female / Male,Q9CPV4,Q9CPV4,-1.267664171,1.267664171,0.026995804,1.57,0.039066284,20,Q9CPV4,Glod4,Glyoxalase domain-containing protein 4,GLOD4_MOUSE,5,-58.46683188,0.415331681,Female,Male,NaN,NaN,NaN
Female / Male,Q8C5W3,Q8C5W3,-1.267596044,1.267596044,0.017918982,1.75,0.031983538,20,Q8C5W3,Tbcel,Tubulin-specific chaperone cofactor E-like protein,TBCEL_MOUSE,2,-58.46487054,0.415351295,Female,Male,NaN,NaN,NaN
Female / Male,P35546,P35546,-1.257357661,1.257357661,0.031544767,1.5,0.041787576,20,P35546,Ret,Proto-oncogene tyrosine-protein kinase receptor Ret,RET_MOUSE,3,-58.16905953,0.418309405,Female,Male,NaN,NaN,NaN
Female / Male,Q62446,Q62446,-1.255781004,1.255781004,0.004057414,2.39,0.013977498,20,Q62446,Fkbp3,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3_MOUSE,1,-58.12331939,0.418766806,Female,Male,NaN,NaN,NaN
Female / Male,Q9D7N9,Q9D7N9,-1.250980603,1.250980603,0.013704828,1.86,0.027062698,20,Q9D7N9,Apmap,Adipocyte plasma membrane-associated protein,APMAP_MOUSE,4,-57.9837475,0.420162525,Female,Male,NaN,NaN,NaN
Female / Male,P58389,P58389,-1.246464359,1.246464359,0.038080504,1.42,0.045556431,20,P58389,Ptpa,Serine/threonine-protein phosphatase 2A activator,PTPA_MOUSE,5,-57.85201281,0.421479872,Female,Male,NaN,NaN,NaN
Female / Male,P36369,P36369,-1.242363709,1.242363709,0.023826466,1.62,0.036298131,20,P36369,Klk1b26,Kallikrein 1-related peptidase b26,K1B26_MOUSE,17,-57.7320429,0.422679571,Female,Male,NaN,NaN,NaN
Female / Male,Q9DCH4,Q9DCH4,-1.241486032,1.241486032,0.011840569,1.93,0.025028846,20,Q9DCH4,Eif3f,Eukaryotic translation initiation factor 3 subunit F,EIF3F_MOUSE,1,-57.70632095,0.422936791,Female,Male,NaN,NaN,NaN
