Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,P39039,P39039,-0.868437285,0.868437285,0.030142091,1.52,0.041264459,20,P39039,Mbl1,Mannose-binding protein A,MBL1_MOUSE,3,-45.22601636,0.547739836,Female,Male,NaN,NaN,NaN
Female / Male,P17427,P17427,-0.849007706,0.849007706,0.020290402,1.69,0.03360194,20,P17427,Ap2a2,AP-2 complex subunit alpha-2,AP2A2_MOUSE,3,-44.48335487,0.555166451,Female,Male,NaN,NaN,NaN
Female / Male,Q03958,Q03958,-0.848405172,0.848405172,0.011305628,1.95,0.024427674,20,Q03958,Pfdn6,Prefoldin subunit 6,PFD6_MOUSE,1,-44.46016379,0.555398362,Female,Male,NaN,NaN,NaN
Female / Male,P01592,P01592,-0.84365696,0.84365696,0.008242415,2.08,0.020941641,20,P01592,Jchain,Immunoglobulin J chain,IGJ_MOUSE,4,-44.2770694,0.557229306,Female,Male,NaN,NaN,NaN
Female / Male,P70168,P70168,-0.841483358,0.841483358,0.032862587,1.48,0.04231798,20,P70168,Kpnb1,Importin subunit beta-1,IMB1_MOUSE,8,-44.19305248,0.558069475,Female,Male,NaN,NaN,NaN
Female / Male,Q05186,Q05186,-0.839514753,0.839514753,0.000261511,3.58,0.002291892,20,Q05186,Rcn1,Reticulocalbin-1,RCN1_MOUSE,8,-44.11685009,0.558831499,Female,Male,NaN,NaN,NaN
Female / Male,P12023,P12023,-0.838405109,0.838405109,3.50E-08,7.46,2.73E-06,20,P12023,App,Amyloid-beta precursor protein,A4_MOUSE,4,-44.07385121,0.559261488,Female,Male,NaN,NaN,NaN
Female / Male,Q9WUP7,Q9WUP7,-0.838021427,0.838021427,0.006488905,2.19,0.018539729,20,Q9WUP7,Uchl5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,UCHL5_MOUSE,3,-44.05897578,0.559410242,Female,Male,NaN,NaN,NaN
Female / Male,Q9JHI5,Q9JHI5,-0.836240467,0.836240467,0.038222571,1.42,0.04556672,20,Q9JHI5,Ivd,"Isovaleryl-CoA dehydrogenase, mitochondrial",IVD_MOUSE,1,-43.98987577,0.560101242,Female,Male,NaN,NaN,NaN
Female / Male,Q9CQF3,Q9CQF3,-0.828357434,0.828357434,0.037920972,1.42,0.045435266,20,Q9CQF3,Nudt21,Cleavage and polyadenylation specificity factor subunit 5,CPSF5_MOUSE,3,-43.68299311,0.563170069,Female,Male,NaN,NaN,NaN
Female / Male,Q9QYI6,Q9QYI6,-0.82491617,0.82491617,0.025783831,1.59,0.037874554,20,Q9QYI6,Dnajb9,DnaJ homolog subfamily B member 9,DNJB9_MOUSE,3,-43.54849964,0.564515004,Female,Male,NaN,NaN,NaN
Female / Male,O89051,O89051,-0.818558751,0.818558751,0.003047332,2.52,0.011825469,20,O89051,Itm2b,Integral membrane protein 2B,ITM2B_MOUSE,4,-43.29919003,0.5670081,Female,Male,NaN,NaN,NaN
Female / Male,Q03402,Q03402,-0.814707463,0.814707463,0.037752179,1.42,0.045435266,20,Q03402,Crisp3,Cysteine-rich secretory protein 3,CRIS3_MOUSE,3,-43.14762449,0.568523755,Female,Male,NaN,NaN,NaN
