ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
P01675;P01676;P01677;P01678;P01679,NA,Ig kappa chain V-VI region XRPC 44;Ig kappa chain V-VI region XRPC 24;Ig kappa chain V-VI region TEPC 601/TEPC 191;Ig kappa chain V-VI region SAPC 10;Ig kappa chain V-VI region J539,Mus musculus,13756.6,NA,13756.6
P01723;P01726;P01727;P01728;P01729,NA,Ig lambda-1 chain V region;Ig lambda-1 chain V region H2020;Ig lambda-1 chain V region S43;Ig lambda-2 chain V region;Ig lambda-2 chain V region MOPC 315,Mus musculus,3281.9200000000005,685.0999999999999,2539.9714285714285
P01750,NA,Ig heavy chain V region 102,Mus musculus,4497.2,13789.5,7594.633333333333
P01753;P01754;P06328,;Ighv1-62-3;Ighv1-72,Ig heavy chain V region 186-1;Ig heavy chain V region 1-62-3;Ig heavy chain V region 1-72,Mus musculus,72844.6976,5534.933333333333,47603.53600000001
P01758,Igh-VJ558,Ig heavy chain V region 108A,Mus musculus,33632.151,NA,33632.151
P01786,NA,Ig heavy chain V region MOPC 47A,Mus musculus,24549.2755,9836.26,16375.378
P01796;P01797;P01798;P01799;P01800;P01801;P01802,NA,Ig heavy chain V-III region A4;Ig heavy chain V-III region U61;Ig heavy chain V-III region E109;Ig heavy chain V-III region ABE-47N;Ig heavy chain V-III region T957;Ig heavy chain V-III region J606;Ig heavy chain V-III region W3082,Mus musculus,8743.7,3800.666666666667,6625.257142857143
P01806;P01807;P01808,NA,Ig heavy chain V region 441;Ig heavy chain V region X44;Ig heavy chain V region T601,Mus musculus,29276.15025,11585.28,19447.889
P01837,Igkc,Immunoglobulin kappa constant,Mus musculus,150031.739,69499.4598,109765.5994
P01843,NA,Ig lambda-1 chain C region,Mus musculus,40124.5202,2243.6666666666665,25919.200125
P01844,Iglc2,Ig lambda-2 chain C region,Mus musculus,4877.9,1249.5500000000002,2459
P01845,Iglc3,Ig lambda-3 chain C region,Mus musculus,1623.7,NA,1623.7
P01863;P01865,Ighg;Ighg2a,"Ig gamma-2A chain C region, A allele;Immunoglobulin heavy constant gamma 2A",Mus musculus,78293.797,NA,78293.797
P01864,NA,Ig gamma-2A chain C region secreted form,Mus musculus,84152.2792,24879.9604,54516.1198
P01867,Ighg2b,Immunoglobulin heavy constant gamma 2B,Mus musculus,33055.23880000001,7973.639999999999,20514.4394
P01868;P01869,Ighg1,"Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form",Mus musculus,30620.839399999997,7878.8,20513.266333333337
P01872,Ighm,Immunoglobulin heavy constant mu,Mus musculus,57135.7735,3875.44,27546.699333333338
P01878,NA,Ig alpha chain C region,Mus musculus,648154.6502,336817.0218,492485.836
P01887,B2m,Beta-2-microglobulin,Mus musculus,2165292.125,1713057.6876,1939174.9063
P01897,H2-L,"H-2 class I histocompatibility antigen, L-D alpha chain",Mus musculus,2305.7799999999997,2529.66,2417.72
P01898,H2-Q10,"H-2 class I histocompatibility antigen, Q10 alpha chain",Mus musculus,72788.5176,5445.5,39117.0088
P01899,H2-D1,"H-2 class I histocompatibility antigen, D-B alpha chain",Mus musculus,85591.1012,46555.521,66073.31109999999
P01901,H2-K1,"H-2 class I histocompatibility antigen, K-B alpha chain",Mus musculus,917.8666666666667,1500,1250.5142857142857
P01902,H2-K1,"H-2 class I histocompatibility antigen, K-D alpha chain",Mus musculus,303.25,799.5,468.6666666666667
P01942,Hba,Hemoglobin subunit alpha,Mus musculus,45552447.2738,846579.0394,23199513.1566
P02088,Hbb-b1,Hemoglobin subunit beta-1,Mus musculus,31147134.178799998,560206.795,15853670.4869
P02089,Hbb-b2,Hemoglobin subunit beta-2,Mus musculus,4226391.4598,64325.851500000004,2376584.522777778
P02301;P68433;P84228;P84244,H3-5;H3c1;H3c2;H3-3a,Histone H3.3C;Histone H3.1;Histone H3.2;Histone H3.3,Mus musculus,717316.5812,1139742.5126,928529.5469
P02468,Lamc1,Laminin subunit gamma-1,Mus musculus,4675.92,4201.360000000001,4438.64
P02535,Krt10,"Keratin, type I cytoskeletal 10",Mus musculus,1015403.6626,837687.4002,926545.5314
P02815,Mucl2,Mucin-like protein 2,Mus musculus,257430821.6,438296692.4,347863757
P02816,Pip,Prolactin-inducible protein homolog,Mus musculus,177101676.8,137050049.6,157075863.2
P03953,Cfd,Complement factor D,Mus musculus,14347.4198,10755.24,12551.329899999999
P03958,Ada,Adenosine deaminase,Mus musculus,1143525.6938,937460.5874,1040493.1406
P03976,NA,Ig kappa chain V-II region 17S29.1,Mus musculus,5476.85,2271.75,3874.3
P03987,NA,Ig gamma-3 chain C region,Mus musculus,74089.7804,25459.8998,49774.8401
P04071,Klk1b16,Kallikrein 1-related peptidase b16,Mus musculus,8808402.4,3042437.8564,5925420.1282
P04104,Krt1,"Keratin, type II cytoskeletal 1",Mus musculus,673467.5502,601087.9564,637277.7533
P04117,Fabp4,"Fatty acid-binding protein, adipocyte",Mus musculus,4100.2,NA,4100.2
P04186,Cfb,Complement factor B,Mus musculus,45868.28,10466.72,28167.5
P04223,H2-K1,"H-2 class I histocompatibility antigen, K-K alpha chain",Mus musculus,4189.4,3333.24,3713.7555555555555
P04247,Mb,Myoglobin,Mus musculus,47456.85,1280.6,16672.68333333333
P04443;P04444,Hbb-bh0;Hbb-bh1,Hemoglobin subunit beta-H0;Hemoglobin subunit beta-H1,Mus musculus,34218.5,NA,34218.5
P04627;P28028;Q99N57,Araf;Braf;Raf1,Serine/threonine-protein kinase A-Raf;Serine/threonine-protein kinase B-raf;RAF proto-oncogene serine/threonine-protein kinase,Mus musculus,215.25,212,213.44444444444446
P04919,Slc4a1,Band 3 anion transport protein,Mus musculus,86357.4,209.5,43283.45
P04925,Prnp,Major prion protein,Mus musculus,2278.48,3424.7799999999997,2851.63
P04939,Mup3,Major urinary protein 3,Mus musculus,47628.3,22916.2204,35272.2602
P04940;P04941;P04943;P04944,NA,Ig kappa chain V-VI region NQ2-17.4.1;Ig kappa chain V-VI region NQ2-48.2.2;Ig kappa chain V-VI region NQ6-8.3.1;Ig kappa chain V-VI region NQ5-78.2.6,Mus musculus,9472.549500000001,1776.1,5624.32475
