ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
P05063,Aldoc,Fructose-bisphosphate aldolase C,Mus musculus,4245.3,104.675,1484.8833333333334
P05064,Aldoa,Fructose-bisphosphate aldolase A,Mus musculus,92603.24160000001,66524.03820000001,79563.63990000001
P05132,Prkaca,cAMP-dependent protein kinase catalytic subunit alpha,Mus musculus,1551.7800000000002,747.9,1322.1
P05201,Got1,"Aspartate aminotransferase, cytoplasmic",Mus musculus,24943.139400000004,7518.04,16230.5897
P05202,Got2,"Aspartate aminotransferase, mitochondrial",Mus musculus,6322.96,6033.36,6178.16
P05208,Cela2a,Chymotrypsin-like elastase family member 2A,Mus musculus,2319.3,NA,2319.3
P05213,Tuba1b,Tubulin alpha-1B chain,Mus musculus,188775.49839999998,100202.6984,144489.09840000002
P05214,Tuba3a,Tubulin alpha-3 chain,Mus musculus,6310.033333333333,1139.1,3724.5666666666666
P05480;P39688;Q04736,Src;Fyn;Yes1,Proto-oncogene tyrosine-protein kinase Src;Tyrosine-protein kinase Fyn;Tyrosine-protein kinase Yes,Mus musculus,733.08,1212.04,972.56
P05555,Itgam,Integrin alpha-M,Mus musculus,5174.72,8078.179999999999,6626.45
P05784,Krt18,"Keratin, type I cytoskeletal 18",Mus musculus,16005.699499999999,5644.9400000000005,10249.722
P05977,Myl1,"Myosin light chain 1/3, skeletal muscle isoform",Mus musculus,25121.879800000002,22107.86,23614.8699
P06151,Ldha,L-lactate dehydrogenase A chain,Mus musculus,570230.2924,371376.8468,470803.5696
P06330,NA,Ig heavy chain V region AC38 205.12,Mus musculus,214494.8766,18016.3798,116255.6282
P06683,C9,Complement component C9,Mus musculus,16558.7796,1371.1,12219.44257142857
P06684,C5,Complement C5,Mus musculus,21899.925,1406.1333333333332,13116.871428571429
P06728,Apoa4,Apolipoprotein A-IV,Mus musculus,560273.1,135475.5812,347874.3406
P06745,Gpi,Glucose-6-phosphate isomerase,Mus musculus,101057.2202,113437.18119999999,107247.2007
P06797,Ctsl,Procathepsin L,Mus musculus,407018.83739999996,374403.8436,390711.3405
P06800,Ptprc,Receptor-type tyrosine-protein phosphatase C,Mus musculus,835.08,2214.38,1524.73
P06801,Me1,NADP-dependent malic enzyme,Mus musculus,23065.079999999998,19245.4198,21155.2499
P06909,Cfh,Complement factor H,Mus musculus,16125.739400000002,1271,8698.369700000001
P07091,S100a4,Protein S100-A4,Mus musculus,3967.3,NA,3967.3
P07141,Csf1,Macrophage colony-stimulating factor 1,Mus musculus,5498.6,6703.799999999999,6101.2
P07214,Sparc,SPARC,Mus musculus,4084.3,NA,4084.3
P07309,Ttr,Transthyretin,Mus musculus,4250352.2874,935691.3376,2593021.8125
P07310,Ckm,Creatine kinase M-type,Mus musculus,172623.1196,87817.2412,130220.1804
P07356,Anxa2,Annexin A2,Mus musculus,66386.2602,69616.9984,68001.6293
P07361,Orm2,Alpha-1-acid glycoprotein 2,Mus musculus,4968.6,973.1666666666666,2571.3399999999997
P07628,Klk1b8,Kallikrein 1-related peptidase b8,Mus musculus,1228779.7376,241273.1592,735026.4484
P07724,Alb,Albumin,Mus musculus,20043665.1,6903735.6,13473700.35
P07743,Bpifa2,BPI fold-containing family A member 2,Mus musculus,539962604.8,517271187.2,528616896
P07744,Krt4,"Keratin, type II cytoskeletal 4",Mus musculus,3078176.2876,3636646.45,3357411.3688
P07759,Serpina3k,Serine protease inhibitor A3K,Mus musculus,1173384.203,208918.0796,691151.1412999999
P07901,Hsp90aa1,Heat shock protein HSP 90-alpha,Mus musculus,12787.16,12277.960000000001,12532.560000000001
P08003,Pdia4,Protein disulfide-isomerase A4,Mus musculus,5130.72,2711.14,3920.93
P08030,Aprt,Adenine phosphoribosyltransferase,Mus musculus,16871.2598,25094.2402,20982.75
P08032,Spta1,"Spectrin alpha chain, erythrocytic 1",Mus musculus,32597.199,NA,32597.199
P08071,Ltf,Lactotransferrin,Mus musculus,949239.3126,946929.5374,948084.425
P08074,Cbr2,Carbonyl reductase [NADPH] 2,Mus musculus,18230.8594,8481.6998,13356.279600000002
P08103,Hck,Tyrosine-protein kinase HCK,Mus musculus,534.2,1169.325,816.4777777777778
P08113,Hsp90b1,Endoplasmin,Mus musculus,59481.1788,55041.2796,57261.2292
P08207,S100a10,Protein S100-A10,Mus musculus,9191.060000000001,12536.680199999999,10863.8701
P08226,Apoe,Apolipoprotein E,Mus musculus,225373.23699999996,42700.5612,134036.8991
P08228,Sod1,Superoxide dismutase [Cu-Zn],Mus musculus,139244.7412,63937.3804,101591.06079999999
P08249,Mdh2,"Malate dehydrogenase, mitochondrial",Mus musculus,16195.84,16728.22,16462.03
P08556;Q61411,Nras;Hras,GTPase NRas;GTPase HRas,Mus musculus,3019.6,NA,3019.6
P08607,C4bpa,C4b-binding protein,Mus musculus,11442,NA,11442
P08730,Krt13,"Keratin, type I cytoskeletal 13",Mus musculus,5457937.65,4681542.85,5069740.25
P08752,Gnai2,Guanine nucleotide-binding protein G(i) subunit alpha-2,Mus musculus,8349.74,9407.4998,8878.6199
P08905,Lyz2,Lysozyme C-2,Mus musculus,644029.3312,1034720.4312,839374.8812
P09036,Spink1,Serine protease inhibitor Kazal-type 1,Mus musculus,9631.060000000001,9388.880000000001,9509.970000000001
P09055,Itgb1,Integrin beta-1,Mus musculus,579.7,NA,579.7
P09103,P4hb,Protein disulfide-isomerase,Mus musculus,248779.97819999998,308619.6654,278699.8218
P09405,Ncl,Nucleolin,Mus musculus,1881.88,625.56,1253.72
P09411,Pgk1,Phosphoglycerate kinase 1,Mus musculus,38821.8806,34348.2,36585.0403
P09470,Ace,Angiotensin-converting enzyme,Mus musculus,6156.78,4039.84,5098.3099999999995
P09528,Fth1,Ferritin heavy chain,Mus musculus,45087.54,30724.8996,37906.2198
P09542,Myl3,Myosin light chain 3,Mus musculus,2048,2977.68,2512.84
P09581,Csf1r,Macrophage colony-stimulating factor 1 receptor,Mus musculus,1263.75,81.7,672.725
P09602,Hmgn2,Non-histone chromosomal protein HMG-17,Mus musculus,1221.3,1095.25,1120.46
P09671,Sod2,"Superoxide dismutase [Mn], mitochondrial",Mus musculus,6570.74,4921.033333333333,5952.1
P09803,Cdh1,Cadherin-1,Mus musculus,129125.3406,165354.14359999998,147239.7421
P09813,Apoa2,Apolipoprotein A-II,Mus musculus,122111.92349999999,6610.5599999999995,57944.499333333326
P0C0S6;Q3THW5,H2az1;H2az2,Histone H2A.Z;Histone H2A.V,Mus musculus,13615.9,15978.500333333333,14501.875125
P0CG49;P0CG50;P62983;P62984,Ubb;Ubc;Rps27a;Uba52,Polyubiquitin-B;Polyubiquitin-C;Ubiquitin-ribosomal protein eS31 fusion protein;Ubiquitin-ribosomal protein eL40 fusion protein,Mus musculus,162368.8782,153373.2392,157871.0587
P0DP26;P0DP27;P0DP28,Calm1;Calm2;Calm3,Calmodulin-1;Calmodulin-2;Calmodulin-3,Mus musculus,220620.4422,175164.1,197892.2711
P10107,Anxa1,Annexin A1,Mus musculus,353400.5376,413947.2188,383673.8782
P10126,Eef1a1,Elongation factor 1-alpha 1,Mus musculus,256959.8346,231674.3436,244317.08909999998
P10404,NA,MLV-related proviral Env polyprotein,Mus musculus,7123.26,6425.6,6774.43
P10518,Alad,Delta-aminolevulinic acid dehydratase,Mus musculus,18219.5,9192.9202,13706.2101
P10605,Ctsb,Cathepsin B,Mus musculus,229986.35940000002,261792.503,245889.4312
P10630,Eif4a2,Eukaryotic initiation factor 4A-II,Mus musculus,343.7,NA,343.7
P10637,Mapt,Microtubule-associated protein tau,Mus musculus,1819.7,18.3,919
P10639,Txn,Thioredoxin,Mus musculus,245073.6188,240923.54059999998,242998.5797
P10648,Gsta2,Glutathione S-transferase A2,Mus musculus,25826.84,18124.2198,21975.5299
P10649,Gstm1,Glutathione S-transferase Mu 1,Mus musculus,201193.9578,171843.2406,186518.5992
P10711,Tcea1,Transcription elongation factor A protein 1,Mus musculus,14764.82525,778.7333333333333,8770.785857142857
P10810,Cd14,Monocyte differentiation antigen CD14,Mus musculus,12423.4,11541.34,11982.369999999999
P10852,Slc3a2,Amino acid transporter heavy chain SLC3A2,Mus musculus,78413.4602,74478.9,76446.1801
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2,H2bc7;H2bc14;H2bc3;H2bc9;H2bc18;H2bc4;H2bc12;Hist1h2bp,Histone H2B type 1-F/J/L;Histone H2B type 1-M;Histone H2B type 1-B;Histone H2B type 1-H;Histone H2B type 2-B;Histone H2B type 1-C/E/G;Histone H2B type 1-K;Histone H2B type 1-P,Mus musculus,3397400.425,5999924.2,4698662.3125
P11031,Sub1,Activated RNA polymerase II transcriptional coactivator p15,Mus musculus,9020.2,8904.15,8953.885714285714
P11087,Col1a1,Collagen alpha-1(I) chain,Mus musculus,261.2,155.7,215.9857142857143
P11088,Flg,Filaggrin (Fragment),Mus musculus,25688.2004,17920.3404,21804.2704
P11247,Mpo,Myeloperoxidase,Mus musculus,44746.960399999996,116120.101,80433.5307
P11276,Fn1,Fibronectin,Mus musculus,25356.5606,5469.16,15412.8603
P11352,Gpx1,Glutathione peroxidase 1,Mus musculus,62382.9592,41073.9598,51728.4595
P11404,Fabp3,"Fatty acid-binding protein, heart",Mus musculus,20648.4505,1090.275,10869.362749999998
P11499,Hsp90ab1,Heat shock protein HSP 90-beta,Mus musculus,51067.32,40095.6602,45581.4901
P11588,Mup1,Major urinary protein 1,Mus musculus,3837036.15,499829.325,2168432.7375
P11589,Mup2,Major urinary protein 2,Mus musculus,16988.06,8448.66,12718.36
P11590,Mup4,Major urinary protein 4,Mus musculus,18419070.4,8178465.5,13298767.95
P11591,Mup5,Major urinary protein 5,Mus musculus,5670901,1043405.8874,3357153.4436999997
P11672,Lcn2,Neutrophil gelatinase-associated lipocalin,Mus musculus,72783.3796,113674.7392,93229.0594
P11679,Krt8,"Keratin, type II cytoskeletal 8",Mus musculus,14409.4602,2867.675,9279.777888888888
P11835,Itgb2,Integrin beta-2,Mus musculus,10397.1,15910.179999999998,13153.64
P11859,Agt,Angiotensinogen,Mus musculus,3776272.35,9416405.2,6596338.775
P11983,Tcp1,T-complex protein 1 subunit alpha,Mus musculus,1929.7199999999998,1360.48,1645.1
P12023,App,Amyloid-beta precursor protein,Mus musculus,7189.72,2449.54,4819.63
P12246,Apcs,Serum amyloid P-component,Mus musculus,13733.6,1109.25,3634.12
P12265,Gusb,Beta-glucuronidase,Mus musculus,3194.14,2955.56,3074.85
P12367,Prkar2a,cAMP-dependent protein kinase type II-alpha regulatory subunit,Mus musculus,775.1,642.3199999999999,708.71
P12382,Pfkl,"ATP-dependent 6-phosphofructokinase, liver type",Mus musculus,2923.4,482.42499999999995,1528.557142857143
P12388,Serpinb2,"Plasminogen activator inhibitor 2, macrophage",Mus musculus,1765.82,2152.05,1937.4777777777779
P12787,Cox5a,"Cytochrome c oxidase subunit 5A, mitochondrial",Mus musculus,12080.6602,12709.1402,12394.9002
P12791,Cyp2b10,Cytochrome P450 2B10,Mus musculus,421.75,NA,421.75
P12804,Fgl2,Fibroleukin,Mus musculus,6630.84,6645.860000000001,6638.35
P12815,Pdcd6,Programmed cell death protein 6,Mus musculus,7653.9000000000005,7158.92,7406.41
P12970,Rpl7a,Large ribosomal subunit protein eL8,Mus musculus,768.56,2542.125,1556.8111111111111
P13020,Gsn,Gelsolin,Mus musculus,133319.101,74133.2408,103726.1709
P13412,Tnni2,"Troponin I, fast skeletal muscle",Mus musculus,23823.9,NA,23823.9
P13542,Myh8,Myosin-8,Mus musculus,1348.9,1690.2,1462.6666666666667
P13595,Ncam1,Neural cell adhesion molecule 1,Mus musculus,420.3,NA,420.3
P13634,Ca1,Carbonic anhydrase 1,Mus musculus,159218.82933333333,1912.6,96296.3376
P13707,Gpd1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",Mus musculus,3643.6,1270,2456.8
P14069,S100a6,Protein S100-A6,Mus musculus,41763.3602,23976.519800000002,32869.94
P14094,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,Mus musculus,30911.2802,31989.6,31450.4401
P14106,C1qb,Complement C1q subcomponent subunit B,Mus musculus,11244.6,NA,11244.6
P14115,Rpl27a,Large ribosomal subunit protein uL15,Mus musculus,8103.9400000000005,8674.325,8357.444444444445
P14131,Rps16,Small ribosomal subunit protein uS9,Mus musculus,8915.6998,9847.18,9381.4399
P14148,Rpl7,Large ribosomal subunit protein uL30,Mus musculus,6797.775,4901.639999999999,5744.366666666667
P14152,Mdh1,"Malate dehydrogenase, cytoplasmic",Mus musculus,93072.9602,46230.1602,69651.5602
P14206,Rpsa,Small ribosomal subunit protein uS2,Mus musculus,23550.5394,16598.0596,20074.2995
P14211,Calr,Calreticulin,Mus musculus,91781.1406,110095.3612,100938.2509
P14234,Fgr,Tyrosine-protein kinase Fgr,Mus musculus,5782.8602,2509.06,4145.9601
P14430,H2-Q8,"H-2 class I histocompatibility antigen, Q8 alpha chain",Mus musculus,1053.9,1042.45,1046.2666666666667
P14602,Hspb1,Heat shock protein beta-1,Mus musculus,22206.4398,20958.42,21582.4299
P14685,Psmd3,26S proteasome non-ATPase regulatory subunit 3,Mus musculus,3233.54,1457.02,2345.28
P14733,Lmnb1,Lamin-B1,Mus musculus,2212.18,4546.54,3379.36
P14824,Anxa6,Annexin A6,Mus musculus,2869.96,1504.82,2187.39
P14847,Crp,C-reactive protein,Mus musculus,9244.025,962.3,5103.1625
P14869,Rplp0,Large ribosomal subunit protein uL10,Mus musculus,1381.8,1621,1531.3
P14873,Map1b,Microtubule-associated protein 1B,Mus musculus,2474.5,34.95,848.1333333333333
P14901,Hmox1,Heme oxygenase 1,Mus musculus,2458.2333333333336,2100.8,2234.8375
P15105,Glul,Glutamine synthetase,Mus musculus,1772.15,2099.4,1935.775
P15327,Bpgm,Bisphosphoglycerate mutase,Mus musculus,98822.703,NA,98822.703
P15379,Cd44,CD44 antigen,Mus musculus,2233.42,5320.82,3777.12
P15501,Sbp,Prostatic spermine-binding protein,Mus musculus,290874.5038,275261.7046,283068.1042
P15508,Sptb,"Spectrin beta chain, erythrocytic",Mus musculus,30244.5,NA,30244.5
P15532,Nme1,Nucleoside diphosphate kinase A,Mus musculus,147822.75939999998,111700.8814,129761.8204
P15535,B4galt1,"Beta-1,4-galactosyltransferase 1",Mus musculus,87724.0796,81314.79920000001,84519.4394
P15626,Gstm2,Glutathione S-transferase Mu 2,Mus musculus,68598.8212,53135,60866.9106
P15864,H1-2,Histone H1.2,Mus musculus,326002.7158,529999.8874,428001.3016
P15945,Klk1b5,Kallikrein 1-related peptidase b5,Mus musculus,571297.35,599966.2502,585631.8001
P15946,Klk1b11,Kallikrein 1-related peptidase b11,Mus musculus,2754539.5,2223934.975,2489237.2375
P15947,Klk1,Kallikrein-1,Mus musculus,28151166,70181245.6,49166205.8
P15948,Klk1b22,Kallikrein 1-related peptidase b22,Mus musculus,3285925.15,1798523.0844,2542224.1172
P15949,Klk1b9,Kallikrein 1-related peptidase b9,Mus musculus,993742.0686,147330.1424,570536.1055
P16015,Ca3,Carbonic anhydrase 3,Mus musculus,20326.8995,1373.3,7691.166499999999
P16110,Lgals3,Galectin-3,Mus musculus,48564.1,63824.5398,56194.3199
P16125,Ldhb,L-lactate dehydrogenase B chain,Mus musculus,106835.6812,50334.9614,78585.3213
P16294,F9,Coagulation factor IX,Mus musculus,3872.1,NA,3872.1
P16301,Lcat,Phosphatidylcholine-sterol acyltransferase,Mus musculus,17305.8995,663,11758.266333333333
P16546,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",Mus musculus,1464.1,1196.34,1330.22
P16675,Ctsa,Lysosomal protective protein,Mus musculus,80426.0194,102759.8406,91592.93
P16858,Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,Mus musculus,381055.5752,382218.2438,381636.9095
P16882,Ghr,Growth hormone receptor,Mus musculus,9072.96,10935.44,10004.2
P17047,Lamp2,Lysosome-associated membrane glycoprotein 2,Mus musculus,2375.64,1154.4,1765.02
P17156,Hspa2,Heat shock-related 70 kDa protein 2,Mus musculus,60309.0196,44062.6806,52185.850099999996
P17182,Eno1,Alpha-enolase,Mus musculus,156276.9998,195874.4624,176075.7311
P17225,Ptbp1,Polypyrimidine tract-binding protein 1,Mus musculus,876.8,208.8,654.1333333333333
P17427,Ap2a2,AP-2 complex subunit alpha-2,Mus musculus,453.68,309.4,381.54
P17439,Gba1,Lysosomal acid glucosylceramidase,Mus musculus,63563.361,99070.1798,81316.7704
P17563,Selenbp1,Methanethiol oxidase,Mus musculus,231041.17740000002,122365.3812,176703.2793
P17710,Hk1,Hexokinase-1,Mus musculus,1217.08,1155.58,1186.33
P17742,Ppia,Peptidyl-prolyl cis-trans isomerase A,Mus musculus,308175.9782,277129.3218,292652.65
P17751,Tpi1,Triosephosphate isomerase,Mus musculus,79617.7392,73309.8406,76463.7899
P17879;Q61696,Hspa1b;Hspa1a,Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,Mus musculus,8527.2,8527.36,8527.28
P17892,Pnliprp2,Pancreatic lipase-related protein 2,Mus musculus,3035.46,588.4,1947.8777777777777
P17897,Lyz1,Lysozyme C-1,Mus musculus,8436.36,50225.1408,29330.750399999997
P18242,Ctsd,Cathepsin D,Mus musculus,2241599.825,1679567.85,1960583.8375
P18337,Sell,L-selectin,Mus musculus,2403.7,NA,2403.7
P18524,NA,Ig heavy chain V region RF,Mus musculus,17219.2245,32503.29875,24861.261625000003
P18525,NA,Ig heavy chain V region 5-84,Mus musculus,5539.65,8188.5,7431.685714285714
P18528,NA,Ig heavy chain V region 6.96,Mus musculus,7329.1398,10270.2996,8799.7197
P18572,Bsg,Basigin,Mus musculus,3383.9,NA,3383.9
P18654,Rps6ka3,Ribosomal protein S6 kinase alpha-3,Mus musculus,543.3333333333334,282.18,380.1125
P18760,Cfl1,Cofilin-1,Mus musculus,82208.5806,99363.058,90785.8193
P18761,Ca6,Carbonic anhydrase 6,Mus musculus,118546165.6,155284472,136915318.8
P19001,Krt19,"Keratin, type I cytoskeletal 19",Mus musculus,12772.72,9583.4,11178.06
P19096,Fasn,Fatty acid synthase,Mus musculus,766.825,492.03999999999996,614.1666666666666
P19157,Gstp1,Glutathione S-transferase P 1,Mus musculus,62677.9208,33144.82,47911.3704
P19221,F2,Prothrombin,Mus musculus,27468.7,5741.775,17812.28888888889
P19253,Rpl13a,Large ribosomal subunit protein uL13,Mus musculus,NA,430.95,430.95
P19467,Muc13,Mucin-13,Mus musculus,1497.4,5259.9,3109.9
P19783,Cox4i1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",Mus musculus,4754.55,8011.84,7081.185714285714
P19973,Lsp1,Lymphocyte-specific protein 1,Mus musculus,8523.46,5633.68,7078.57
P20029,Hspa5,Endoplasmic reticulum chaperone BiP,Mus musculus,223408.2248,219378.203,221393.2139
P20060,Hexb,Beta-hexosaminidase subunit beta,Mus musculus,215504.3782,427930.3624,321717.3703
P20065,Tmsb4x,Thymosin beta-4,Mus musculus,63572.1388,47066.3792,55319.259
P20152,Vim,Vimentin,Mus musculus,52714.6806,51851.2796,52282.9801
P20801,Tnnc2,"Troponin C, skeletal muscle",Mus musculus,696.325,18888.801,4334.8202
P20852,Cyp2a5,Cytochrome P450 2A5,Mus musculus,2797.9,1027.7666666666667,2039.2714285714287
P20918,Plg,Plasminogen,Mus musculus,53530.240000000005,16235.32,34882.78
P21107,Tpm3,Tropomyosin alpha-3 chain,Mus musculus,159858.18099999998,240574.5988,200216.3899
P21126,Ubl4a,Ubiquitin-like protein 4A,Mus musculus,878.6,NA,878.6
P21180,C2,Complement C2,Mus musculus,2644.2,250.13333333333333,1447.1666666666667
P21279,Gnaq,Guanine nucleotide-binding protein G(q) subunit alpha,Mus musculus,1228.52,1120.325,1180.4333333333334
P21300;P45377,Akr1b7;Akr1b8,Aldo-keto reductase family 1 member B7;Aldose reductase-related protein 2,Mus musculus,569.35,1168.6,868.975
P21460,Cst3,Cystatin-C,Mus musculus,4742953.7,3655278.75,4199116.225
P21550,Eno3,Beta-enolase,Mus musculus,16729.36733333333,6309.45,12561.400399999999
P21614,Gc,Vitamin D-binding protein,Mus musculus,133760.8848,30072.019800000002,81916.4523
P21619,Lmnb2,Lamin-B2,Mus musculus,336.08,253.70000000000002,299.46666666666664
P21956,Mfge8,Lactadherin,Mus musculus,58396.0198,54903.9808,56650.0003
P21981,Tgm2,Protein-glutamine gamma-glutamyltransferase 2,Mus musculus,5949.725,512.375,3231.05
P22599,Serpina1b,Alpha-1-antitrypsin 1-2,Mus musculus,558000.472,84406.1602,321203.31610000005
P22892,Ap1g1,AP-1 complex subunit gamma-1,Mus musculus,406.75,1222.3,989.2857142857142
P22907,Hmbs,Porphobilinogen deaminase,Mus musculus,425.3,NA,425.3
P23188,Furin,Furin,Mus musculus,342565.9782,322360.5624,332463.2703
P23198,Cbx3,Chromobox protein homolog 3,Mus musculus,2949.5,2777.38,2806.0666666666666
P23336,Ggta1,"N-acetyllactosaminide alpha-1,3-galactosyltransferase",Mus musculus,986.65,866.05,946.45
P23492,Pnp,Purine nucleoside phosphorylase,Mus musculus,34294.0608,22243.5402,28268.8005
P23506,Pcmt1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,Mus musculus,9852.625,2459.54,5745.355555555556
P23591,Gfus,GDP-L-fucose synthase,Mus musculus,3386.36,7337.5,5142.422222222222
P23780,Glb1,Beta-galactosidase,Mus musculus,19439.78,21752.1198,20595.9499
P23927,Cryab,Alpha-crystallin B chain,Mus musculus,17057.7998,12984.95,15247.644333333334
P23953,Ces1c,Carboxylesterase 1C,Mus musculus,913452.2,260832.5158,587142.3579
P24270,Cat,Catalase,Mus musculus,11573.580399999999,5216.8,8395.1902
P24369,Ppib,Peptidyl-prolyl cis-trans isomerase B,Mus musculus,405630.5216,431947.5812,418789.0514
P24452,Capg,Macrophage-capping protein,Mus musculus,45196.4398,44626.0408,44911.2403
P24472,Gsta4,Glutathione S-transferase A4,Mus musculus,86126.0782,62677.0982,74401.5882
P24527,Lta4h,Leukotriene A-4 hydrolase,Mus musculus,52369.3602,80660.3196,66514.8399
P24549,Aldh1a1,Aldehyde dehydrogenase 1A1,Mus musculus,56241.0798,13157.64,34699.3599
P24638,Acp2,Lysosomal acid phosphatase,Mus musculus,2543.88,5263.9601999999995,3903.9201000000003
P25085,Il1rn,Interleukin-1 receptor antagonist protein,Mus musculus,6767.860000000001,5462.08,6114.97
P25444,Rps2,Small ribosomal subunit protein uS5,Mus musculus,1198.3799999999999,1701.56,1449.97
P25785,Timp2,Metalloproteinase inhibitor 2,Mus musculus,59110.8194,71541.1796,65325.9995
P26039,Tln1,Talin-1,Mus musculus,8724.2802,8983.82,8854.0501
P26040,Ezr,Ezrin,Mus musculus,43355.3194,43737.0806,43546.2
P26041,Msn,Moesin,Mus musculus,65097.9592,62972.7194,64035.3393
P26043,Rdx,Radixin,Mus musculus,1597.18,1524.8333333333333,1570.05
P26231,Ctnna1,Catenin alpha-1,Mus musculus,840.6666666666666,488.4666666666667,664.5666666666666
P26262,Klkb1,Plasma kallikrein,Mus musculus,12547.233,548.6,5048.087375
