Geneid,mouse_gene,ortholog_type,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06,Secretome location,Secretome function,Level,Reliability,Cell type
ABCA8,Abca8b,one-to-one,20.1270886549187,18.0963882354506,15.4956628833175,19.867039165668,18.4758896821356,18.3038464450791,8.10972569907284,8.69206280262889,16.2916740587936,11.8071421465812,14.9418767572563,14.0459060855859,12.9965278840993,NA,NA,Not detected,Enhanced,glandular cells
ABCA9,Abca9,one-to-one,9.99769760151118,11.3337002429214,8.26186082124791,9.24832204075277,8.58899020010755,5.45084263118805,3.72697801165666,5.4829743125599,5.84786415135973,6.15519230847997,5.78096681498252,8.37333388921654,4.04271710003479,NA,NA,High,Uncertain,glandular cells
ABCA9-AS1,NA,human-specific,2.91847017130361,3.23127505822035,4.32634427543121,3.66947013804054,1.96744335154095,1.81337324259722,0.104200192550248,1.4592501865829,1.72601364053481,2.36968933214668,2.82489435184928,2.56914181738698,2.81580047157324,NA,NA,NA,NA,NA
ABCB1,Abcb1a | Abcb1b,one-to-many (mouse-to-human),0.714010069897685,0.319341809419736,1.08254014791981,1.3122276117574,1.48073019380103,1.41164554162949,0.541830095955946,0.573448180770438,0.419887265073414,0.284444518051703,0.644261183506529,0.703119398479012,0.781793091592507,NA,NA,Not detected,Enhanced,glandular cells
ABCB10,Abcb10,one-to-one,5.13075021436132,6.67101867608198,3.7223706062431,4.66014607155567,9.16472343526626,7.65321789879753,4.90229702798901,5.16222039883123,4.40060449797502,6.20369726393703,5.16390271786723,5.90626013132722,5.93645005841039,NA,NA,Medium,Uncertain,glandular cells
ABCB11,Abcb11,one-to-one,0.0554522409239299,0,0.180845455392342,0.0306774937875881,0.0571118552049154,0.00842230989634869,0.00725945127264948,0.0938432250001975,0.120248452644159,0.199848513151882,0.021086315810251,0.0565224528893058,0.0938214195038883,NA,NA,Not detected,Enhanced,glandular cells
ABCB11_1,NA,human-specific,0.0165269164926132,0,0,0,0,0,0,0,0.0238924655656055,0,0,0,0.0305044565037762,NA,NA,NA,NA,NA
ABCB4,Abcb4,one-to-one,0.510400032551094,0.558755779616215,0.475588283750552,0.647219553592033,0.843443626149325,0.407641748269746,0.472983433120918,0.334829415435591,0.236284200501383,0.490644927760381,0.314025404769491,0.362421768585457,0.344013516539321,NA,NA,Not detected,Enhanced,glandular cells
ABCB5,Abcb5,one-to-one,0.0991014088814302,0,0.0167894934316547,0.0996822689102818,0.144750111967352,0,0.00707657456223603,0.0152465283745938,0,0,0,0.0550985656200518,0,NA,NA,NA,NA,NA
ABCB6,Abcb6,one-to-one,4.49340238897521,5.55285040590844,3.66627604479902,5.15203458307436,13.8692652325658,7.61685726868737,4.51700841403811,5.22056736214396,2.08679039179648,3.41466289705375,3.8599892693162,3.51221923760194,5.67235486885119,Intracellular and membrane,Transport,Medium,Approved,glandular cells
