transcript_id,gene_id,gene_name
ENSMUST00000144480,ENSMUSG00000038936,Sccpdh
ENSMUST00000143936,ENSMUSG00000038936,Sccpdh
ENSMUST00000192611,ENSMUSG00000038936,Sccpdh
ENSMUST00000073441,ENSMUSG00000042772,Smg7
ENSMUST00000043560,ENSMUSG00000042772,Smg7
ENSMUST00000111836,ENSMUSG00000042772,Smg7
ENSMUST00000186692,ENSMUSG00000042772,Smg7
ENSMUST00000186900,ENSMUSG00000042772,Smg7
ENSMUST00000188937,ENSMUSG00000042772,Smg7
ENSMUST00000185888,ENSMUSG00000100394,Gm28791
ENSMUST00000195145,ENSMUSG00000103840,1700040K01Rik
ENSMUST00000131716,ENSMUSG00000087236,Kif28
ENSMUST00000221136,ENSMUSG00000087236,Kif28
ENSMUST00000211943,ENSMUSG00000087236,Kif28
ENSMUST00000223392,ENSMUSG00000087236,Kif28
ENSMUST00000187136,ENSMUSG00000100702,Gm8976
ENSMUST00000086430,ENSMUSG00000026042,Col5a2
ENSMUST00000150143,ENSMUSG00000026042,Col5a2
ENSMUST00000134681,ENSMUSG00000026042,Col5a2
ENSMUST00000131535,ENSMUSG00000026042,Col5a2
ENSMUST00000192814,ENSMUSG00000104476,Gm38211
ENSMUST00000113512,ENSMUSG00000073643,Wdfy1
ENSMUST00000113513,ENSMUSG00000073643,Wdfy1
ENSMUST00000113515,ENSMUSG00000073643,Wdfy1
ENSMUST00000113514,ENSMUSG00000073643,Wdfy1
ENSMUST00000187005,ENSMUSG00000073643,Wdfy1
ENSMUST00000113510,ENSMUSG00000073643,Wdfy1
ENSMUST00000113511,ENSMUSG00000073643,Wdfy1
ENSMUST00000127771,ENSMUSG00000073643,Wdfy1
ENSMUST00000130714,ENSMUSG00000073643,Wdfy1
ENSMUST00000143368,ENSMUSG00000073643,Wdfy1
ENSMUST00000048820,ENSMUSG00000073643,Wdfy1
ENSMUST00000138319,ENSMUSG00000073643,Wdfy1
ENSMUST00000186464,ENSMUSG00000073643,Wdfy1
ENSMUST00000125641,ENSMUSG00000073643,Wdfy1
ENSMUST00000193178,ENSMUSG00000104497,Gm10555
ENSMUST00000147000,ENSMUSG00000025916,Ppp1r42
ENSMUST00000124874,ENSMUSG00000025916,Ppp1r42
ENSMUST00000027049,ENSMUSG00000025916,Ppp1r42
ENSMUST00000130102,ENSMUSG00000025916,Ppp1r42
ENSMUST00000176398,ENSMUSG00000025916,Ppp1r42
ENSMUST00000155163,ENSMUSG00000025916,Ppp1r42
ENSMUST00000134692,ENSMUSG00000087199,Gm15818
ENSMUST00000027464,ENSMUSG00000026248,Mrpl44
ENSMUST00000189176,ENSMUSG00000026248,Mrpl44
ENSMUST00000239726,ENSMUSG00000119658,Gm24674
ENSMUST00000027467,ENSMUSG00000026249,Serpine2
ENSMUST00000189793,ENSMUSG00000026249,Serpine2
ENSMUST00000190724,ENSMUSG00000026249,Serpine2
ENSMUST00000153862,ENSMUSG00000026249,Serpine2
ENSMUST00000191529,ENSMUSG00000026249,Serpine2
ENSMUST00000191026,ENSMUSG00000026249,Serpine2
ENSMUST00000186368,ENSMUSG00000042751,Nmnat2
ENSMUST00000043313,ENSMUSG00000042751,Nmnat2
ENSMUST00000186621,ENSMUSG00000042751,Nmnat2
ENSMUST00000185241,ENSMUSG00000042751,Nmnat2
ENSMUST00000187569,ENSMUSG00000042751,Nmnat2
ENSMUST00000190960,ENSMUSG00000042751,Nmnat2
ENSMUST00000165691,ENSMUSG00000067106,Gm5529
ENSMUST00000190117,ENSMUSG00000099969,Gm28960
ENSMUST00000190355,ENSMUSG00000100397,Gm28071
ENSMUST00000186421,ENSMUSG00000099753,Gm28058
ENSMUST00000239741,ENSMUSG00000118883,Gm23934
ENSMUST00000195479,ENSMUSG00000102518,Gm38339
ENSMUST00000058748,ENSMUSG00000043230,Fam124b
ENSMUST00000161427,ENSMUSG00000043230,Fam124b
