gene,log2FoldChange_strain_PAR,log2FoldChange_strain_SL,log2FoldChange_strain_SM,log2FoldChange_strain_LIV,log2FoldChange_strain_PANC,log2FoldChange_sex_PAR,log2FoldChange_sex_SL,log2FoldChange_sex_SM,log2FoldChange_sex_LIV,log2FoldChange_sex_PANC,padj_strain_PAR,padj_strain_SL,padj_strain_SM,padj_strain_LIV,padj_strain_PANC,padj_sex_PAR,padj_sex_SL,padj_sex_SM,padj_sex_LIV,padj_sex_PANC,baseMean_strain_PAR,baseMean_strain_SL,baseMean_strain_SM,baseMean_strain_LIV,baseMean_strain_PANC,baseMean_sex_PAR,baseMean_sex_SL,baseMean_sex_SM,baseMean_sex_LIV,baseMean_sex_PANC
Gm22711,-0.280884738191591,1.07048678310404,-0.581844249276812,0.591798441553476,-1.63955294765696,-0.683760338164623,-0.528169448847382,-0.314050436813131,-1.56254308680422,0.224909130299817,NA,0.511107950103961,NA,0.759784812643399,NA,NA,NA,NA,NA,NA,3.21005098873608,2.61906047047594,1.53140993849055,3.76256482680604,1.62717297377705,3.21005098873608,2.61906047047594,1.53140993849055,3.76256482680604,1.62717297377705
Tex2,-0.133726622300017,0.532265072342648,-0.138332048630414,0.242773107443571,0.263255886453898,0.357430685994628,0.460443936179117,1.56511078833172,0.141962346117774,0.137549827579009,0.999997843896355,0.0910378136310306,0.859688483246622,0.354452162129296,0.478909474039638,0.999978656998048,0.922148854105853,9.31198322059156e-11,0.747761696175956,0.796856275972695,1726.44450764891,3001.79083938214,6799.61517645448,6196.17911143989,762.114190330956,1726.44450764891,3001.79083938214,6799.61517645448,6196.17911143989,762.114190330956
Pecam1,-0.103425498913101,-0.0130052040298042,-0.17721249740919,-0.122419225002793,-0.278349300587694,-0.308128635080424,0.164660197661343,-0.167220256085598,-0.0344771406139243,-0.498548189175223,0.999997843896355,0.979137098767466,0.702912144235416,0.808130193797375,0.729126536319068,0.999978656998048,0.999703591649468,0.586875807336672,0.965777964065132,0.622969274371471,3111.58414806402,760.959803469746,665.420614401223,699.838279329338,839.045109844516,3111.58414806402,760.959803469746,665.420614401223,699.838279329338,839.045109844516
Milr1,0.344545055989312,0.538567327287642,1.14786524409742,0.676243741836544,-0.629313779680842,-0.0325943653261495,0.561506951413005,-0.0998205394444197,0.489125706517792,-1.40579745289151,0.999997843896355,0.4350076109651,0.193505021980662,0.311216735083982,0.725077373145478,0.999978656998048,0.999703591649468,0.93544333741438,0.643062436955171,0.546436916565485,115.201751951629,60.6726920814652,36.3812479818695,15.6430507600068,14.9373836307197,115.201751951629,60.6726920814652,36.3812479818695,15.6430507600068,14.9373836307197
Polg2,0.368052951293213,0.230882784553503,0.440094993118541,0.593550091858017,0.152675219963249,-0.419186642672772,0.161440094209189,-0.466319559191812,-0.00312669910942013,-0.169856378646476,0.999997843896355,0.224115503273568,0.162037488957835,6.13031321155239e-4,0.851419342088681,0.999978656998048,0.999703591649468,0.0669086519008441,0.994607967610804,0.863628899091691,181.103801765765,173.116593489529,111.574527857921,306.153041857198,67.3406437905392,181.103801765765,173.116593489529,111.574527857921,306.153041857198,67.3406437905392
Ddx5,-0.257279917373096,-0.0588294483287497,-0.0809202820179885,-0.272632679299704,-0.101910438860235,-0.113020735993051,-0.0150665796408116,0.170396811560443,-0.109315159382887,-0.214962524920603,0.999997843896355,0.603507856246761,0.888080690685563,0.0590000367355028,0.776001912733792,0.999978656998048,0.999703591649468,0.526605441096649,0.683548080929694,0.626739654781393,16030.6302912274,29749.7845951234,18136.1224261673,12002.5996364291,6202.0343025872,16030.6302912274,29749.7845951234,18136.1224261673,12002.5996364291,6202.0343025872
Mir3064,-0.103752437692934,0.0640828030935002,-0.145487733731985,-0.137712215398145,0.461898104762247,-0.199547532089518,0.00545574146980782,0.166015429899927,-0.0507015401802196,-0.451673609013498,0.999997843896355,0.792078349674722,0.79962533476281,0.798603597108368,0.380958699368818,0.999978656998048,0.999703591649468,0.62745382037796,0.953340499490041,0.571739074137594,322.065496656265,659.756041891538,388.672671462411,217.682177431826,127.902717898663,322.065496656265,659.756041891538,388.672671462411,217.682177431826,127.902717898663
Cep95,-0.022400653266142,0.22513575791202,0.174773679596994,-0.0511077591420941,0.157637387378798,-0.0624245643590607,0.0446908377906487,-0.130642285031009,-0.260409749198892,-0.555698328052139,0.999997843896355,0.248415603883131,0.604193670649213,0.894805012647508,0.816420686385999,0.999978656998048,0.999703591649468,0.603957511840663,0.516563873299511,0.513701280183533,305.608040620711,552.285458917241,258.710320098772,233.755887670644,101.711962562741,305.608040620711,552.285458917241,258.710320098772,233.755887670644,101.711962562741
Smurf2,-0.465792935476789,-0.0938470995587494,-0.0757505540826341,0.0394905796462851,-0.399265909645442,0.190715747385499,0.0814013011636039,-0.0644886107984403,0.0831256968769372,-0.0231432099531717,0.999997843896355,0.355610898155435,0.889304446749922,0.864077888948889,0.166106719516863,0.999978656998048,0.999703591649468,0.837183582227996,0.784420085187366,0.966056078426841,1156.38441479519,2168.46299015247,1091.88365322645,1599.0392034611,497.173834464834,1156.38441479519,2168.46299015247,1091.88365322645,1599.0392034611,497.173834464834
Kpna2,-0.361086841146017,-0.694506285430211,-0.323167688785513,0.24351902891998,-0.442328938092806,-0.290668793460718,-0.14065031702843,0.10181985811506,0.266942775502431,-0.661563565766127,0.999997843896355,7.31533086470334e-5,0.345271093877931,0.443980664658157,0.38381927874315,0.999978656998048,0.999703591649468,0.772658987600014,0.545550052596578,0.413414742110361,998.859186341747,1044.68600035008,643.121476688678,1309.25940596895,445.8876697093,998.859186341747,1044.68600035008,643.121476688678,1309.25940596895,445.8876697093
